parameters,mae,mse,rmse,mape
"{'window_size': 5, 'hidden_layer_1': 64, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.0032817228213339877,1.8441060831205594e-05,0.004294305628527806,0.3045676931639643
"{'window_size': 5, 'hidden_layer_1': 32, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.003352927738572298,1.8498706476421155e-05,0.004301012261831063,0.3110783778546595
"{'window_size': 3, 'hidden_layer_1': 32, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.003449781212628911,1.87437805681538e-05,0.004329408801228385,0.3200927936208686
"{'window_size': 14, 'hidden_layer_1': 32, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.0031306610729246787,2.2101907843299197e-05,0.004701266621167023,0.29002221695898733
"{'window_size': 7, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.0036966858135659476,2.2996234245088727e-05,0.00479543890015176,0.34274137208529276
"{'window_size': 10, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.004048227162631002,2.36761184037548e-05,0.004865811176335843,0.37564586156688284
"{'window_size': 7, 'hidden_layer_1': 32, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.003865264862614892,2.372633844611265e-05,0.0048709689432506805,0.3586323472748412
"{'window_size': 10, 'hidden_layer_1': 32, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.003913336862090877,2.412821944349171e-05,0.004912048395882486,0.3630086528956072
"{'window_size': 5, 'hidden_layer_1': 32, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.003518752990633911,2.6544300998706366e-05,0.0051521161670430495,0.32591838743220164
"{'window_size': 3, 'hidden_layer_1': 64, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.004067688630812816,2.940456668507298e-05,0.0054225977801302,0.37702472762318306
"{'window_size': 3, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.004046986919890139,3.217185353097817e-05,0.00567202375973322,0.3749489339630184
"{'window_size': 10, 'hidden_layer_1': 32, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.004545131136738378,3.449055584665038e-05,0.005872866067487865,0.42144513787707916
"{'window_size': 14, 'hidden_layer_1': 32, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.004039943422489612,3.4948643759559106e-05,0.0059117377952306975,0.3742547290925649
"{'window_size': 5, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.004415764834486802,3.6175533458509895e-05,0.00601461000053286,0.40922664887859933
"{'window_size': 7, 'hidden_layer_1': 64, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.004950546270645018,3.6348963256520634e-05,0.006029010139029511,0.45951545725426224
"{'window_size': 14, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'max_iter': 500, 'random_state': 42}",0.005085426478770328,3.7670631924579935e-05,0.006137640582877099,0.4717744174850195
"{'window_size': 7, 'hidden_layer_1': 32, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.005220808065207661,3.9271445849802983e-05,0.0062666933744841054,0.48445142037654154
"{'window_size': 3, 'hidden_layer_1': 32, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.005078456846841472,4.262709266560385e-05,0.006528942691248243,0.47079021996104653
"{'window_size': 10, 'hidden_layer_1': 64, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.005489588913668108,4.376652652196769e-05,0.0066156274473376814,0.5092776972977795
"{'window_size': 14, 'hidden_layer_1': 64, 'hidden_layer_2': 0, 'max_iter': 500, 'random_state': 42}",0.005955240743503265,4.972682865029074e-05,0.007051725225098517,0.5526243822035537
